Título,Descripción,Categoría,Latitud,Longitud,Fecha del hecho
"Fallo en vuelo sorprende a habitantes de Clorinda, Formosa","Grave fallo en vuelo ocurrió en las inmediaciones de Clorinda, Formosa. El incidente causando pérdidas millonarias y afectando a cientos de personas. Se han habilitado refugios temporales para las familias afectadas.",Fallo en vuelo,-25.327008,-57.686352,12/11/2024
"Devastador Emanación de gas tóxico afecta a Recoleta, CABA","Grave emanación de gas tóxico ocurrió en las inmediaciones de Recoleta, CABA. El incidente generando caos en el transporte público y privado. Se han habilitado refugios temporales para las familias afectadas.",Emanación de gas tóxico,-34.602049,-58.411719,24/09/2002
"Villa Dolores sufre las consecuencias de Accidente ferroviario con pasajeros, Córdoba","Autoridades confirmaron un accidente ferroviario con pasajeros en Villa Dolores, Córdoba. El incidente dejando a varios sectores sin comunicación. Se ha iniciado una investigación para determinar las causas exactas del incidente.",Accidente ferroviario con pasajeros,-31.973166,-65.207393,20/08/2014
"Fallo en vuelo sorprende a habitantes de Embarcación, Salta","Autoridades confirmaron un fallo en vuelo en Embarcación, Salta. El incidente dejando a varios sectores sin comunicación. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Fallo en vuelo,-23.208659,-64.085963,15/03/2025
Accidente ferroviario con pasajeros causa estragos en Termas de Río Hondo,"Autoridades confirmaron un accidente ferroviario con pasajeros en Termas de Río Hondo, Santiago del Estero. El incidente resultando en el cierre temporal de escuelas y comercios. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Accidente ferroviario con pasajeros,-27.531708,-64.856032,16/02/2021
Colapso en red de distribución impacta en Belén,"Grave colapso en red de distribución ocurrió en las inmediaciones de Belén, Catamarca. El incidente afectando el normal desarrollo de actividades en la zona. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Colapso en red de distribución,-27.655773,-67.076609,05/09/2004
Preocupación por Accidente con químicos industriales en General Roca,"Grave accidente con químicos industriales ocurrió en las inmediaciones de General Roca, Río Negro. El incidente generando serios daños ambientales en la región. El intendente local se ha trasladado al lugar para supervisar las operaciones.",Accidente con químicos industriales,-39.056355,-67.597112,16/03/2019
Consecuencias graves tras Incidente en fábrica en Quitilipi,"Autoridades confirmaron un incidente en fábrica en Quitilipi, Chaco. El incidente afectando el normal desarrollo de actividades en la zona. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Incidente en fábrica,-26.855822,-60.196499,21/03/2016
"Devastador Choque en cadena afecta a General Roca, Río Negro","Autoridades confirmaron un choque en cadena en General Roca, Río Negro. El incidente afectando el normal desarrollo de actividades en la zona. Se ha establecido un centro de operaciones para coordinar las ayudas.",Choque en cadena,-39.010261,-67.605748,19/08/2001
"Preocupación por Colapso por fallas estructurales en Termas de Río Hondo, Santiago del Estero","Autoridades confirmaron un colapso por fallas estructurales en Termas de Río Hondo, Santiago del Estero. El incidente dejando varios heridos y daños materiales. El Ministerio de Desarrollo Social está brindando apoyo a los damnificados.",Colapso por fallas estructurales,-27.533332,-64.901072,04/11/2021
Alerta por Fuego en centro comercial en Villa Regina,"Un grave fuego en centro comercial se registró en Villa Regina, Río Negro. El incidente provocando cortes de energía y problemas en el suministro de agua. El municipio ha activado el protocolo de emergencias para esta situación.",Fuego en centro comercial,-39.136971,-67.072015,24/07/2005
Explosión en zona residencial sorprende a habitantes de Jardín América,"Un grave explosión en zona residencial se registró en Jardín América, Misiones. El incidente dejando a varios sectores sin comunicación. Voluntarios de diversas organizaciones se han sumado a las tareas de auxilio.",Explosión en zona residencial,-27.020888,-55.239145,26/02/2012
"Situación crítica por Descarrilamiento con derrame en La Paz, Entre Ríos","Un grave descarrilamiento con derrame se registró en La Paz, Entre Ríos. El incidente dejando a varios sectores sin comunicación. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Descarrilamiento con derrame,-30.786206,-59.685994,21/05/2024
Accidente vehicular provoca emergencia en Viedma,"Grave accidente vehicular ocurrió en las inmediaciones de Viedma, Río Negro. El incidente generando serios daños ambientales en la región. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Accidente vehicular,-40.76686,-62.948616,10/07/2017
Fuego en local comercial impacta en Junín,"Grave fuego en local comercial ocurrió en las inmediaciones de Junín, Buenos Aires. El incidente dejando a varios sectores sin comunicación. La población ha sido alertada para tomar precauciones adicionales.",Fuego en local comercial,-34.548899,-60.920952,27/10/2022
"Derrumbe con personas atrapadas sorprende a habitantes de Cañada de Gómez, Santa Fe","Grave derrumbe con personas atrapadas ocurrió en las inmediaciones de Cañada de Gómez, Santa Fe. El incidente afectando gravemente la infraestructura local. El municipio ha activado el protocolo de emergencias para esta situación.",Derrumbe con personas atrapadas,-32.831156,-61.397862,19/02/2019
Avioneta caída genera crisis en Rivadavia,"Autoridades confirmaron un avioneta caída en Rivadavia, San Juan. El incidente provocando cortes de energía y problemas en el suministro de agua. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Avioneta caída,-31.524684,-68.645617,29/03/2008
Habitantes de Humahuaca afrontan Apagón general,"Grave apagón general ocurrió en las inmediaciones de Humahuaca, Jujuy. El incidente causando pérdidas millonarias y afectando a cientos de personas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Apagón general,-23.157066,-65.366989,01/05/2012
Estallido de gasoducto impacta en San Rafael,"Autoridades confirmaron un estallido de gasoducto en San Rafael, Mendoza. El incidente dejando a varios sectores sin comunicación. Se ha establecido un centro de operaciones para coordinar las ayudas.",Estallido de gasoducto,-34.602701,-68.322713,29/05/2007
Fuga en planta industrial genera crisis en Chajarí,"Un grave fuga en planta industrial se registró en Chajarí, Entre Ríos. El incidente provocando cortes de energía y problemas en el suministro de agua. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Fuga en planta industrial,-30.779556,-58.065164,16/05/2020
Accidente de tránsito múltiple impacta en Chivilcoy,"Grave accidente de tránsito múltiple ocurrió en las inmediaciones de Chivilcoy, Buenos Aires. El incidente interrumpiendo servicios básicos en toda la zona. El municipio ha activado el protocolo de emergencias para esta situación.",Accidente de tránsito múltiple,-34.941195,-59.999547,09/12/2004
"Avioneta caída causa estragos en Guaymallén, Mendoza","Un grave avioneta caída se registró en Guaymallén, Mendoza. El incidente provocando pánico entre los residentes locales. Se ha establecido un centro de operaciones para coordinar las ayudas.",Avioneta caída,-32.850569,-68.81264,15/12/2019
Habitantes de Trenque Lauquen afrontan Fallo en vuelo,"Autoridades confirmaron un fallo en vuelo en Trenque Lauquen, Buenos Aires. El incidente afectando gravemente la infraestructura local. Técnicos trabajan para restablecer los servicios básicos lo antes posible.",Fallo en vuelo,-35.976311,-62.697957,31/07/2024
"Habitantes de Villa Mercedes afrontan Colisión grave en ruta, San Luis","Autoridades confirmaron un colisión grave en ruta en Villa Mercedes, San Luis. El incidente generando caos en el transporte público y privado. Se ha declarado estado de emergencia en la región para facilitar la asistencia.",Colisión grave en ruta,-33.688052,-65.447083,22/12/2018
"Evacuaciones por Pérdida de gas con evacuación en Tolhuin, Tierra del Fuego","Grave pérdida de gas con evacuación ocurrió en las inmediaciones de Tolhuin, Tierra del Fuego. El incidente dejando a varios sectores sin comunicación. Se ha convocado al comité de crisis para coordinar las acciones de respuesta.",Pérdida de gas con evacuación,-54.476365,-67.162414,07/08/2023
Accidente de tránsito múltiple genera crisis en La Boca,"Autoridades confirmaron un accidente de tránsito múltiple en La Boca, CABA. El incidente resultando en el cierre temporal de escuelas y comercios. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Accidente de tránsito múltiple,-34.609993,-58.412451,26/06/2001
"Devastador Avioneta caída afecta a Casilda, Santa Fe","Un grave avioneta caída se registró en Casilda, Santa Fe. El incidente generando caos en el transporte público y privado. Las fuerzas de seguridad mantienen un perímetro para evitar incidentes adicionales.",Avioneta caída,-33.019471,-61.207117,01/10/2009
Incendio en fábrica genera crisis en Chilecito,"Autoridades confirmaron un incendio en fábrica en Chilecito, La Rioja. El incidente con un saldo inicial de varias personas heridas. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Incendio en fábrica,-29.174704,-67.518146,11/03/2007
Declaran emergencia tras Descarrilamiento de tren en La Boca,"Un grave descarrilamiento de tren se registró en La Boca, CABA. El incidente provocando cortes de energía y problemas en el suministro de agua. Los servicios médicos están atendiendo a los afectados en hospitales locales.",Descarrilamiento de tren,-34.678846,-58.315541,26/08/2019
"Consecuencias graves tras Accidente de helicóptero en Paraná, Entre Ríos","Grave accidente de helicóptero ocurrió en las inmediaciones de Paraná, Entre Ríos. El incidente afectando el normal desarrollo de actividades en la zona. El municipio ha activado el protocolo de emergencias para esta situación.",Accidente de helicóptero,-31.778879,-60.56098,08/06/2011
Colisión de tren de carga provoca emergencia en Añatuya,"Grave colisión de tren de carga ocurrió en las inmediaciones de Añatuya, Santiago del Estero. El incidente provocando pánico entre los residentes locales. Autoridades nacionales se han puesto a disposición para brindar asistencia.",Colisión de tren de carga,-28.453816,-62.831415,19/04/2016
"Situación crítica por Fallo en planta procesadora en Puerto Iguazú, Misiones","Autoridades confirmaron un fallo en planta procesadora en Puerto Iguazú, Misiones. El incidente interrumpiendo servicios básicos en toda la zona. Bomberos y personal de seguridad trabajan intensamente en la zona.",Fallo en planta procesadora,-25.585308,-54.554917,30/04/2015
"Se reporta Atropello masivo en zona de Cruz del Eje, Córdoba","Grave atropello masivo ocurrió en las inmediaciones de Cruz del Eje, Córdoba. El incidente dejando varios heridos y daños materiales. Se han habilitado refugios temporales para las familias afectadas.",Atropello masivo,-30.771586,-64.793806,04/08/2010
Equipos de emergencia atienden Colapso de estructura en San Telmo,"Un grave colapso de estructura se registró en San Telmo, CABA. El incidente resultando en el cierre temporal de escuelas y comercios. Las autoridades locales han desplegado equipos de emergencia para atender a los afectados.",Colapso de estructura,-34.607222,-58.394591,09/11/2024
